province,city,new_customer_count,orders,order_value,major_city,
California,Los Angeles,1618,2439,408560.53,LA,
New York,Brooklyn,1148,1599,229941.89,NYC,
New York,New York,1028,1420,225607.8,NYC,
California,San Francisco,837,1174,221542.37,SF,
Oregon,Portland,633,933,120621.39,PORTLAND,
Illinois,Chicago,588,843,131102.7,CHI,
Texas,Austin,542,821,122333.53,AUSTIN,
Washington,Seattle,561,772,112044.54,SEATTLE,
California,San Diego,449,659,92886.12,SD,"Adding San Diego as ""LA"" so there is no air shipping"
Colorado,Denver,429,629,88152.69,,
District of Columbia,Washington,293,404,55960.6,,
California,Oakland,257,381,54030.39,SF,
Pennsylvania,Philadelphia,240,350,48442.87,NYC,
Tennessee,Nashville,240,338,49698.84,,
Georgia,Atlanta,217,318,47916.45,,
Minnesota,Minneapolis,214,310,40097.82,,
Massachusetts,Boston,217,289,38599.55,,
Arizona,Phoenix,153,271,39171.51,,
California,Santa Monica,186,268,42742.11,LA,
California,Santa Barbara,172,264,38534.48,LA,"Adding SB as ""LA"" so there is no air shipping"
Texas,Houston,171,241,34275.15,,
Texas,Dallas,164,228,36772.59,,
Florida,Miami,161,209,32502.49,,
California,Long Beach,128,200,28583.47,LA,
California,Irvine,107,173,25593.26,LA,
California,San Jose,117,169,25986.22,SF,
Pennsylvania,Pittsburgh,109,169,23829.21,,
California,Sacramento,112,165,20742.39,SF,
California,Berkeley,109,155,25056.35,SF,
California,Pasadena,103,153,23768.83,LA,
Utah,Salt Lake City,104,151,22235.19,,
North Carolina,Charlotte,104,146,23500.9,,
California,Santa Cruz,93,145,19061.18,SF,
Arizona,Scottsdale,83,144,22046.7,,
Colorado,Boulder,96,139,19244.4,,
Massachusetts,Cambridge,87,137,18851.54,,
Hawaii,Honolulu,92,135,21682.01,,
Nevada,Las Vegas,73,126,21231.48,,
Arizona,Tucson,73,119,14201.1,,
California,Huntington Beach,60,118,18291.21,LA,
California,Newport Beach,78,117,18862.41,LA,
California,Costa Mesa,72,117,18067.88,LA,
New Jersey,Jersey City,84,112,16221.67,NYC,
California,West Hollywood,64,111,21263.38,LA,
Virginia,Richmond,75,111,14889.39,,
California,Glendale,66,110,18824.72,LA,
Texas,San Antonio,78,110,16001.46,AUSTIN,
California,Venice,79,109,19991.12,LA,
Maryland,Baltimore,81,107,15567.75,,
Oregon,Bend,79,105,14241.51,,
Ohio,Columbus,79,102,13738.81,,
Virginia,Alexandria,63,98,13276.92,,
California,Ojai,56,97,15405.45,LA,
North Carolina,Raleigh,65,97,14045.61,,
California,Encinitas,74,97,13217.9,LA,
California,Ventura,68,96,13241.4,LA,
California,Burbank,44,96,13097.91,LA,
Wisconsin,Madison,55,94,15829.22,,
California,Carlsbad,53,93,14671.46,LA,
North Carolina,Asheville,63,93,13352.31,,
Louisiana,New Orleans,63,92,12266.23,,
New Mexico,Santa Fe,59,89,11369.49,,
South Carolina,Charleston,55,89,10714.74,,
Michigan,Ann Arbor,58,88,12859.02,,
California,San Rafael,57,87,13077.45,SF,
Minnesota,Saint Paul,47,87,11177.3,,
New York,Queens,54,85,14202.32,NYC,
California,Laguna Beach,57,83,12739.94,LA,
Virginia,Arlington,69,83,9972.43,,
California,Mill Valley,59,82,13171.25,SF,
Montana,Bozeman,53,82,9753.89,,
California,Redondo Beach,57,81,11047.56,LA,
Missouri,Kansas City,58,81,11038.96,,
North Carolina,Durham,62,81,10474.36,,
Unknown Province,Unknown City,47,80,13277.23,,
Nevada,Reno,56,79,11151.96,,
Maine,Portland,59,78,11174.61,,
Indiana,Indianapolis,50,77,13762.23,,
California,Petaluma,48,77,12756.41,SF,
New York,BROOKLYN,52,77,11735.89,NYC,
Florida,Tampa,58,77,11507.85,,
California,LOS ANGELES,58,77,11133.44,LA,
California,Culver City,47,76,10966.35,LA,
Washington,Tacoma,52,76,10934.03,,
Massachusetts,Somerville,45,75,11249.59,,
Colorado,Fort Collins,43,75,9240.74,,
New Mexico,Albuquerque,51,74,9846.48,,
Ontario,Toronto,52,73,18583.38,,
California,Thousand Oaks,40,73,8764.81,LA,
Texas,Fort Worth,45,71,11050.03,,
Ohio,Cincinnati,48,71,9475.88,,
California,Topanga,30,70,11316.01,LA,
California,Santa Rosa,39,70,9673.57,SF,
Rhode Island,Providence,40,70,9474.33,,
Colorado,Colorado Springs,47,69,9883.77,,
California,San Clemente,47,68,9459.85,LA,
California,Oceanside,44,67,10685.31,LA,
Idaho,Boise,44,67,8671.53,,
California,Manhattan Beach,42,66,10084.78,LA,
Florida,Orlando,44,66,9207.26,,
California,Mountain View,36,65,10400.65,SF,
California,Walnut Creek,43,65,9040.07,SF,
Washington,Vancouver,43,65,7511,,
Washington,Bellingham,44,64,9186.28,,
Florida,Miami Beach,36,63,11178.83,,
California,Chico,37,62,13705.01,,
Vermont,Burlington,37,62,8159.18,,
